"from","to"
"cel04519","Cadherin signaling"
"cel04144","Endocytosis"
"cel04145","Phagosome"
"cel04142","Lysosome biogenesis"
"cel04146","Peroxisome"
"cel04140","Autophagy - animal"
"cel04136","Autophagy - other"
"cel04137","Mitophagy - animal"
"cel04148","Efferocytosis"
"cel04215","Apoptosis - multiple species"
"cel04814","Motor proteins"
"cel04820","Cytoskeleton in muscle cells"
"cel04620","Toll-like receptor signaling pathway"
"cel04977","Vitamin digestion and absorption"
"cel04981","Folate transport and metabolism"
"cel04980","Cobalamin transport and metabolism"
"cel04361","Axon regeneration"
"cel04382","Cornified envelope formation"
"cel04212","Longevity regulating pathway - worm"
"cel04213","Longevity regulating pathway - multiple species"
"cel05100","Bacterial invasion of epithelial cells"
