target,contrast,log2fc_mean,log2fc_sem,n_runs,n_wells_total,p_value,runs,padj_BH
oac-7,geno_unt,1.8158908982944388,0.7365447853927802,5,30,0.0692868243685205,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3;qPCR_030325__1_,0.2910046623477865
pals-24,geno_unt,1.6652546502901648,,1,6,,qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,
t22f3.11,geno_unt,-8.37366537762987,,1,6,,qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,
t22f3.11,geno_unt,-3.00234091586428,2.7683711269200244,3,16,0.3914677694777565,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_,0.5872016542166348
ugt-29,geno_unt,2.229406108233064,1.0292570882918954,2,13,0.2753500584113588,qPCR_030325__1_;qPCR_4_6_26,0.5782351226638535
ugt-31,geno_unt,0.7464972960757843,1.6607832979251629,5,31,0.6763617608446069,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_030325__1_;qPCR_4_6_26,0.8355057045727496
zip-2,geno_unt,0.1169920742932564,0.7515700499310798,3,18,0.8905900235364865,qPCR_-_Treated_vs__Untreated__1_;qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3;qPCR_Results_-_RB2060_vs__N2,0.8906953444864728
ceh-74,treat_N2,-2.202153514042965,,1,6,,qPCR_-_Treated_vs__Untreated__1_,
fbxa-128,treat_N2,0.8795106962009669,,1,6,,qPCR_030325__1_,
fbxa-79,treat_N2,1.7745923250810025,0.3866931610519017,2,12,0.1365877140077907,qPCR_030325__1_;qPCR_4_6_26,0.3585427492704506
nhr-58,treat_N2,0.7653939336561812,1.2823890444353834,2,12,0.6574348219596711,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,0.8355057045727496
oac-7,treat_N2,1.6584488105330597,0.7785511957217759,4,25,0.1229910255880799,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_030325__1_,0.3585427492704506
t22f3.11,treat_N2,-1.6317862567201844,1.2497040148418876,3,17,0.3216328634512083,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_,0.5872016542166348
ugt-29,treat_N2,4.005386191481701,0.232441446134002,2,12,0.0369030681629387,qPCR_030325__1_;qPCR_4_6_26,0.2910046623477865
ugt-31,treat_N2,2.4149927820911508,0.1835683977334962,5,31,0.0001928117798295,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_030325__1_;qPCR_4_6_26,0.0040490473764208
zip-2,treat_N2,-0.0345970004076314,,1,6,,qPCR_-_Treated_vs__Untreated__1_,
