"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_num"
"GO:0051664","nuclear pore localization","10/3451","12/12859",7.25780742486959e-05,0.00198522379562609,0.00198522379562609,"ego-1/ifb-2/ifb-1/ifc-1/ifc-2/ifd-2/ifp-1/ifa-1/mua-6/ifd-1",10,0.00289771080846132
"GO:0010623","programmed cell death involved in cell development","11/3451","14/12859",8.05722273661621e-05,0.00208144920695919,0.00208144920695919,"rpn-8/rpn-11/mig-5/mig-14/ubq-1/rpn-3/siah-1/uba-1/let-70/rbx-1/bar-1",11,0.00318748188930745
"GO:0006950","response to stress","16/3451","25/12859",0.000107595413112954,0.00261798351428166,0.00261798351428166,"hsp-70/F44E5.4/hsp-110/lys-4/lys-6/hsp-1/lys-7/hsp-6/lys-3/hsp-3/mek-1/F22H10.2/F53A9.1/kreg-1/F53A9.6/F53A9.7",16,0.00463633729353811
"GO:0006508","proteolysis","94/3451","250/12859",0.00011260144147448,0.00261798351428166,0.00261798351428166,"Y65B4A.2/K12C11.1/K07A3.3/Y47G6A.19/app-1/usp-5/suro-1/fce-1/F26E4.3/ZC434.9/kpc-1/rpn-11/ctsa-1.1/ctsa-4.1/ctsa-3.1/ubh-4/nas-25/myrf-1/rpn-12/nep-1/ctsa-1.2/usp-14/clp-4/Y71H2AM.11/dpy-31/zmp-6/pcp-1/pcp-5/dpf-6/T16G12.1/lonp-2/ppgn-1/Y67D8C.9/ddi-1/pcp-3/imp-2/Y67H2A.7/srp-1/W07B8.4/cpr-5/cpr-8/zmp-3/cpr-4/asp-5/tag-196/F36D4.5/AC3.5/math-33/cpr-1/lap-2/F32H5.1/cpz-2/zmp-4/cpr-3/cpl-1/asp-1/pcp-4/gcp-2.1/nas-38/acn-1/C26B9.5/asp-14/asp-3/adt-2/R09F10.1/adt-1/adm-2/Y16B4A.2/usp-33/wrt-4/svh-1/asp-9/hrg-7/C44B7.11/rom-1/F27D9.7/nas-29/nas-31/nep-18/nas-3/M04C9.1/M04C9.3/T12E12.6/T23G4.2/Y40H7A.10/lact-9/Y70C5C.1/Y113G7B.15/nep-25/F56F10.1/ubh-2/Y94H6A.10/asp-16/asp-2",94,0.0272384815995364
"GO:0007097","nuclear migration","13/3451","19/12859",0.000181587804201994,0.00402087280732986,0.00402087280732986,"anc-1/nud-2/ifb-2/ifb-1/dnc-2/ifc-1/ifc-2/ifd-2/ifp-1/ifa-1/unc-84/mua-6/ifd-1",13,0.00376702405099971
"GO:0006635","fatty acid beta-oxidation","17/3451","29/12859",0.000305290060208612,0.00645272172713658,0.00645272172713658,"acox-1.1/acox-1.2/acox-1.4/Y25C1A.13/pmp-1/maoc-1/ech-4/acox-1.5/ech-6/acox-3/ech-8/decr-1.1/ech-1.1/dhs-28/B0272.3/acox-1.6/F58A6.1",17,0.00492610837438424
"GO:0007010","cytoskeleton organization","14/3451","22/12859",0.000321113314874849,0.00649207353986107,0.00649207353986107,"anc-1/ifb-2/ifb-1/fozi-1/tag-77/ifc-1/ifc-2/ifd-2/ifp-1/ifa-1/mua-6/cas-1/ifd-1/F10C1.8",14,0.00405679513184584
"GO:0009058","biosynthetic process","23/3451","45/12859",0.000446501898417643,0.00865097428184183,0.00865097428184183,"Y65B4A.8/Y47D9A.1/fasn-1/acox-1.1/acox-1.2/acox-1.4/eif-2Bgamma/F57C2.5/acox-1.5/elo-6/acox-3/elo-1/T25B9.1/alh-3/sptl-3/T13C5.6/F38B6.4/tatn-1/nkat-3/acox-1.6/elo-3/elo-9/Y18H1A.11",23,0.00666473485946103
"GO:0030968","endoplasmic reticulum unfolded protein response","26/3451","54/12859",0.00064227048332872,0.0119462309899142,0.0119462309899142,"hsp-70/hrdl-1/Y105E8A.2/abu-11/xbp-1/ckb-2/C14B9.2/cnx-1/dsc-4/D2096.6/bre-1/hsp-16.41/F10C2.5/pdi-2/hsp-3/F41B4.3/pdi-6/dnj-7/lec-8/pek-1/abu-1/pqn-2/abu-15/pqn-54/cdr-4/abu-4",26,0.00753404810199942
"GO:0006633","fatty acid biosynthetic process","19/3451","37/12859",0.00128443793805784,0.0229716785075729,0.0229716785075729,"fasn-1/art-1/dbt-1/acs-7/mlcd-1/Y48A6B.9/elo-5/elo-6/elo-1/fat-4/fat-3/T28F3.5/elo-2/fat-5/acly-1/dhs-25/elo-3/hpo-8/elo-9",19,0.0055056505360765
"GO:0006814","sodium ion transport","24/3451","51/12859",0.00153099920350487,0.0263672085048061,0.0263672085048061,"nhx-2/vnut-1/ncx-7/vglu-3/nhx-9/slc-17.8/slc-17.7/ncx-1/mec-10/slc-17.9/nhx-5/pbo-4/nac-1/nhx-1/mec-4/ncx-6/acd-1/acd-3/nhx-3/slc-17.5/nac-2/slc-17.4/asic-2/nhx-8",24,0.00695450594030716
"GO:0051453","regulation of intracellular pH","9/3451","13/12859",0.00171042189993674,0.0284052208382351,0.0284052208382351,"nhx-2/nhx-9/cln-3.3/vha-12/nhx-5/pbo-4/nhx-1/nhx-3/nhx-8",9,0.00260793972761518
"GO:0006418","tRNA aminoacylation for protein translation","12/3451","20/12859",0.00182429877876435,0.0292516873146698,0.0292516873146698,"nars-1/glp-4/Y105E8A.20/rars-2/kars-1/tars-1/gars-1/pars-1/dars-1/sars-1/iars-1/mars-1",12,0.00347725297015358
"GO:0050832","defense response to fungus","14/3451","25/12859",0.00191859425296973,0.0293829752569558,0.0293829752569558,"sma-6/tir-1/sma-3/cnc-4/cnc-2/lys-7/nlp-31/nlp-29/sek-1/gpa-12/nipi-3/dcar-1/sta-2/cnc-11",14,0.00405679513184584
"GO:0042761","very long-chain fatty acid biosynthetic process","8/3451","11/12859",0.00195886501713038,0.0293829752569558,0.0293829752569558,"art-1/elo-5/elo-6/elo-1/elo-2/elo-3/hpo-8/elo-9",8,0.00231816864676905
"GO:0006665","sphingolipid metabolic process","17/3451","33/12859",0.00219047666394454,0.031830364022944,0.031830364022944,"T27F6.6/asah-1/gba-1/cgt-3/asm-1/sms-3/spl-1/asm-3/gba-4/sms-1/sptl-3/hyl-2/cgt-2/W02F12.2/sms-5/lagr-1/F13H10.8",17,0.00492610837438424
"GO:0006869","lipid transport","16/3451","31/12859",0.00286554816490377,0.0399514088787138,0.0399514088787138,"vps-51/obr-4/tat-5/F07F6.8/nrf-6/daf-22/dsc-4/abt-4/cav-2/nrf-5/ncr-1/vit-2/atg-2/vit-1/lpr-6/lpr-4",16,0.00463633729353811
"GO:0008610","lipid biosynthetic process","10/3451","16/12859",0.00292117828360488,0.0399514088787138,0.0399514088787138,"drd-1/ads-1/emb-8/elo-6/elo-1/T13C5.6/elo-3/F35C8.5/F49E12.10/elo-9",10,0.00289771080846132
"GO:0006915","apoptotic process","28/3451","65/12859",0.00335071708972928,0.0445166699064034,0.0445166699064034,"hlh-3/mcd-1/klf-1/cgh-1/ced-11/crn-6/ced-2/ced-10/drp-1/asp-5/ape-1/egl-1/cpl-1/asp-1/crn-4/asp-14/asp-3/dct-1/nuc-1/asp-9/hrg-7/ced-8/fis-2/sav-1/Y40H7A.10/asp-16/asp-2/ced-9",28,0.00811359026369168
"GO:0006998","nuclear envelope organization","9/3451","14/12859",0.00365017999099732,0.0448757397383071,0.0448757397383071,"ifb-2/ifb-1/ifc-1/ifc-2/ifd-2/ifp-1/ifa-1/mua-6/ifd-1",9,0.00260793972761518
"GO:0090435","protein localization to nuclear envelope","9/3451","14/12859",0.00365017999099732,0.0448757397383071,0.0448757397383071,"ifb-2/ifb-1/ifc-1/ifc-2/ifd-2/ifp-1/ifa-1/mua-6/ifd-1",9,0.00260793972761518
"GO:0098869","cellular oxidant detoxification","15/3451","29/12859",0.00375373562179691,0.0448757397383071,0.0448757397383071,"C02D5.4/mlt-7/R53.5/gsto-3/gsr-1/pxn-2/gpx-3/gsto-1/gst-44/gpx-7/gpx-2/T07E3.3/pxn-1/gstk-1/gsto-2",15,0.00434656621269197
"GO:1902600","proton transmembrane transport","23/3451","51/12859",0.00376377171998705,0.0448757397383071,0.0448757397383071,"vha-10/pept-3/nhx-2/vha-4/vha-9/vha-6/unc-32/vha-11/vha-8/vha-5/nhx-9/slc-9B.2/vha-12/nnt-1/nhx-5/pbo-4/nhx-1/catp-2/nhx-3/otpl-6/nhx-8/otpl-3/vha-13",23,0.00666473485946103
"GO:0032456","endocytic recycling","10/3451","17/12859",0.00539741244393554,0.0627449196607507,0.0627449196607507,"rab-8/vps-51/snx-27/alx-1/hgrs-1/fat-3/ehbp-1/num-1/snx-17/rab-10",10,0.00289771080846132
"GO:0007015","actin filament organization","16/3451","33/12859",0.00632261899222473,0.0716574222095708,0.0716574222095708,"spe-15/unc-94/unc-87/cpn-1/hum-1/cpn-4/cdc-42/B0303.7/hipr-1/ced-10/rho-1/crp-1/hum-6/tth-1/cas-1/W02H5.2",16,0.00463633729353811
"GO:0000045","autophagosome assembly","13/3451","25/12859",0.00647228329634833,0.0716574222095708,0.0716574222095708,"lgg-1/atg-13/epg-9/ubxn-2/bec-1/allo-1/lgg-2/atg-7/rab-1/atg-16.1/atg-2/epg-6/Y105C5A.24",13,0.00376702405099971
"GO:0051085","chaperone cofactor-dependent protein refolding","9/3451","15/12859",0.00696344889749011,0.075302412496114,0.075302412496114,"bag-1/hsp-70/F44E5.4/hsp-1/hsp-6/hsp-3/tor-1/dnj-13/F11F1.1",9,0.00260793972761518
"GO:0000423","mitophagy","10/3451","18/12859",0.00924946347572153,0.0955777892491225,0.0955777892491225,"lgg-1/atg-13/bec-1/lgg-2/atg-7/dct-1/sqst-2/Y105C5A.24/sqst-5/ced-9",10,0.00289771080846132
"GO:0015749","monosaccharide transmembrane transport","10/3451","18/12859",0.00924946347572153,0.0955777892491225,0.0955777892491225,"F13B12.2/R09B5.11/Y61A9LA.1/K09C4.1/C03B1.13/F11D5.7/F53H8.3/K08F9.1/K09C4.4/K09C4.5",10,0.00289771080846132
"GO:0005975","carbohydrate metabolic process","34/3451","88/12859",0.010249679742557,0.103610893049761,0.103610893049761,"T19H5.6/ipgm-1/gpdh-1/chil-24/R11F4.1/aagr-2/sqv-8/atgp-2/ZK632.4/gpdh-2/T03F6.3/tre-2/klo-1/aagr-1/C47E12.3/atgp-1/hex-2/EGAP9.3/tre-3/F10C2.5/gana-1/C50B6.7/cht-1/bgal-2/hex-5/klo-2/fut-2/R08F11.1/chil-23/lmd-5/T26E4.4/T26H5.8/bre-4/T04A8.7",34,0.00985221674876847
"GO:0006516","glycoprotein catabolic process","7/3451","11/12859",0.0114163432157234,0.112948927559817,0.112948927559817,"C17B7.5/C04E12.4/F35F10.1/txt-11/W04G5.5/C14B1.3/Y50D4B.4",7,0.00202839756592292
"GO:0016042","lipid catabolic process","20/3451","47/12859",0.0141649996400139,0.137223434012635,0.137223434012635,"lid-1/lips-10/plc-3/Y54F10AM.8/ZK370.4/ipla-6/faah-1/lipl-5/lipl-3/abhd-5.2/lipl-1/paf-2/pcca-1/ipla-2/C07E3.9/lipl-7/lipl-2/lips-17/fil-1/lips-6",20,0.00579542161692263
"GO:0008645","hexose transmembrane transport","10/3451","19/12859",0.0148890989712108,0.141294510645163,0.141294510645163,"F13B12.2/R09B5.11/Y61A9LA.1/K09C4.1/C03B1.13/F11D5.7/F53H8.3/K08F9.1/K09C4.4/K09C4.5",10,0.00289771080846132
"GO:0008340","determination of adult lifespan","69/3451","204/12859",0.0157336527844425,0.146322970895315,0.146322970895315,"taf-4/acbp-1/aap-1/wdr-23/eif-2beta/hsp-70/aha-1/glp-4/npp-4/F43C11.7/vhp-1/lgg-1/kars-1/nhx-2/pah-1/mnk-1/cdc-48.1/pqm-1/tars-1/eat-2/nhr-80/mxl-2/daf-7/klf-1/glod-4/xbp-1/rpn-6.1/ubc-18/mml-1/cgh-1/hsp-110/pde-2/cul-1/rsks-1/kgb-1/dcap-1/egl-4/skn-1/bec-1/qns-1/daf-14/atg-7/him-6/hsp-1/elo-2/icl-1/fos-1/atg-18/cln-3.3/gpa-3/akt-1/dkf-2/skr-5/pha-4/pept-1/bar-1/mek-1/adt-2/dct-1/sma-5/bcat-1/bra-1/akt-2/cnnm-4/srr-4/daf-8/cnnm-5/nac-2/prdx-2",69,0.0199942045783831
"GO:0006897","endocytosis","28/3451","72/12859",0.0169883831566445,0.152466141730017,0.152466141730017,"spe-15/unc-57/hum-1/tat-5/F14B4.1/rab-5/ptr-23/cdc-42/alfa-1/ptr-8/rabn-5/hipr-1/cnt-2/sid-2/drp-1/bec-1/lst-4/crp-1/toca-1/hum-6/ptr-4/ptr-24/epn-1/daf-6/ppt-1/ptr-1/ptr-13/ptr-22",28,0.00811359026369168
"GO:0036503","ERAD pathway","16/3451","36/12859",0.0170499771397008,0.152466141730017,0.152466141730017,"ubql-1/Y105E8A.2/rpt-4/ubxn-3/cdc-48.2/cdc-48.1/xbp-1/vms-1/B0303.4/cnx-1/enpl-1/jamp-1/hsp-3/ubc-23/C14B1.3/ufd-1",16,0.00463633729353811
"GO:0061063","positive regulation of nematode larval development","7/3451","12/12859",0.0211076083909566,0.185189394373487,0.185189394373487,"kars-1/dbt-1/daf-22/eat-2/let-653/atfs-1/dhs-28",7,0.00202839756592292
"GO:1902475","L-alpha-amino acid transmembrane transport","11/3451","23/12859",0.0250112655971289,0.215374787086388,0.215374787086388,"slc-36.5/F21D12.3/ctns-1/atgp-2/snf-7/aat-4/aat-1/glt-1/aat-2/aat-7/aat-6",11,0.00318748188930745
"GO:0008286","insulin receptor signaling pathway","6/3451","10/12859",0.0278450772137966,0.231213587578847,0.231213587578847,"aap-1/egl-4/akt-1/ins-35/mxl-3/akt-2",6,0.00173862648507679
"GO:0019752","carboxylic acid metabolic process","6/3451","10/12859",0.0278450772137966,0.231213587578847,0.231213587578847,"ldh-1/mdh-2/spl-1/icl-1/spl-2/spl-3",6,0.00173862648507679
"GO:0030198","extracellular matrix organization","9/3451","18/12859",0.0302891379084864,0.242835329783555,0.242835329783555,"zmp-6/C18H7.1/fbl-1/zmp-3/zmp-4/adt-2/adt-1/C16E9.1/col-99",9,0.00260793972761518
"GO:0046513","ceramide biosynthetic process","9/3451","18/12859",0.0302891379084864,0.242835329783555,0.242835329783555,"T27F6.6/asm-1/sms-3/asm-3/sms-1/sptl-3/hyl-2/sms-5/lagr-1",9,0.00260793972761518
"GO:0030148","sphingolipid biosynthetic process","7/3451","13/12859",0.0352941058522656,0.278165410530568,0.278165410530568,"elo-5/elo-6/elo-1/elo-2/elo-3/hpo-8/elo-9",7,0.00202839756592292
"GO:0030522","intracellular receptor signaling pathway","20/3451","51/12859",0.0363067050814261,0.281376964381052,0.281376964381052,"nhr-64/ahr-1/aha-1/nhr-8/nhr-67/nhr-43/nhr-114/nhr-68/nhr-60/nhr-116/nhr-35/nhr-25/nhr-91/nhr-76/nhr-154/nhr-136/nhr-120/nhr-32/nhr-207/nhr-17",20,0.00579542161692263
"GO:0030163","protein catabolic process","9/3451","19/12859",0.0441491729520346,0.33111879714026,0.33111879714026,"mel-26/vhp-1/bath-42/lonp-2/bec-1/atg-7/atg-18/ppt-1/ubh-2",9,0.00260793972761518
"GO:0043065","positive regulation of apoptotic process","9/3451","19/12859",0.0441491729520346,0.33111879714026,0.33111879714026,"skr-1/wts-1/pal-1/cul-1/egl-1/dct-1/sav-1/sptf-3/ced-9",9,0.00260793972761518
"GO:0009653","anatomical structure morphogenesis","17/3451","43/12859",0.0474192105029195,0.349998934664406,0.349998934664406,"C48E7.6/T28F4.4/lin-31/fkh-8/cdc-42/unc-130/sma-3/sma-2/daf-14/let-653/fos-1/pha-4/daf-6/fkh-6/C30H6.5/ver-4/daf-8",17,0.00492610837438424
"GO:0006457","protein folding","28/3451","78/12859",0.0491119074149565,0.356828702311794,0.356828702311794,"tbca-1/fkb-5/cyn-15/dnj-12/pfd-2/cct-1/cct-4/stc-1/dnj-20/cyn-6/pdi-1/cct-5/cct-6/C14B9.2/hsp-110/dnj-10/cnx-1/enpl-1/hsp-6/fkb-3/fkb-4/ahsa-1/pdi-2/hsp-3/cyn-8/F53A3.7/dnj-13/dnj-19",28,0.00811359026369168
"GO:0003333","amino acid transmembrane transport","7/3451","14/12859",0.0545770270362468,0.378780859281414,0.378780859281414,"slc-36.5/atgp-2/aat-4/aat-1/aat-2/aat-7/aat-6",7,0.00202839756592292
"GO:0006637","acyl-CoA metabolic process","7/3451","14/12859",0.0545770270362468,0.378780859281414,0.378780859281414,"T05E7.1/C17C3.1/daf-22/C37H5.13/dhs-28/K05B2.4/W03D8.8",7,0.00202839756592292
"GO:0032446","protein modification by small protein conjugation","7/3451","14/12859",0.0545770270362468,0.378780859281414,0.378780859281414,"C28G1.10/ubc-3/ubc-18/ubc-7/ubc-1/uba-1/atg-7",7,0.00202839756592292
